PROB,FILE
0.27874231338500977,[b'data/Coins_Faces/lesson7/pre2/single_faces/presenter/284_0.jpg']
0.3529810309410095,[b'data/Coins_Faces/lesson7/pre6/single_faces/presenter/268_8.jpg']
0.3633137047290802,[b'data/Coins_Faces/lesson7/pre1/single_faces/presenter/418_9.jpg']
0.24798235297203064,[b'data/Coins_Faces/lesson2/pre6/single_faces/presenter/278_1.jpg']
0.36771026253700256,[b'data/Coins_Faces/lesson7/pre6/single_faces/presenter/276_7.jpg']
0.32020193338394165,[b'data/Coins_Faces/lesson2/pre2/single_faces/presenter/245_2.jpg']
0.320448637008667,[b'data/Coins_Faces/lesson4/pre8/single_faces/presenter/498_3.jpg']
0.3856912851333618,[b'data/Coins_Faces/lesson6/pre2/single_faces/presenter/57_0.jpg']
0.29090145230293274,[b'data/Coins_Faces/lesson1/pre2/single_faces/presenter/183_0.jpg']
0.25462087988853455,[b'data/Coins_Faces/lesson6/pre8/single_faces/presenter/374_2.jpg']
0.509861946105957,[b'data/Coins_Faces/lesson2/pre6/single_faces/presenter/286_3.jpg']
0.2919825315475464,[b'data/Coins_Faces/lesson2/pre6/single_faces/presenter/139_2.jpg']
0.3915039300918579,[b'data/Coins_Faces/lesson7/pre8/single_faces/presenter/50_7.jpg']
0.3331294357776642,[b'data/Coins_Faces/lesson4/pre8/single_faces/presenter/518_7.jpg']
0.3537304103374481,[b'data/Coins_Faces/lesson7/pre6/single_faces/presenter/596_8.jpg']
0.3943079710006714,[b'data/Coins_Faces/lesson2/pre3/single_faces/presenter/191_2.jpg']
0.642881453037262,[b'data/Coins_Faces/lesson4/pre4/single_faces/presenter/386_4.jpg']
0.33535218238830566,[b'data/Coins_Faces/lesson3/pre2/single_faces/presenter/337_1.jpg']
0.35957297682762146,[b'data/Coins_Faces/lesson3/pre7/single_faces/presenter/273_4.jpg']
0.27345675230026245,[b'data/Coins_Faces/lesson2/pre2/single_faces/presenter/347_0.jpg']
0.4630205035209656,[b'data/Coins_Faces/lesson2/pre1/single_faces/presenter/490_3.jpg']
0.4097742438316345,[b'data/Coins_Faces/lesson4/pre8/single_faces/presenter/13_3.jpg']
0.3230348229408264,[b'data/Coins_Faces/lesson6/pre8/single_faces/presenter/180_2.jpg']
0.518028199672699,[b'data/Coins_Faces/lesson6/pre6/single_faces/presenter/19_1.jpg']
0.4427202343940735,[b'data/Coins_Faces/lesson1/pre3/single_faces/presenter/47_2.jpg']
0.5194522142410278,[b'data/Coins_Faces/lesson4/pre4/single_faces/presenter/345_6.jpg']
0.5103574991226196,[b'data/Coins_Faces/lesson2/pre1/single_faces/presenter/492_4.jpg']
0.37077468633651733,[b'data/Coins_Faces/lesson7/pre8/single_faces/presenter/55_4.jpg']
0.386963814496994,[b'data/Coins_Faces/lesson4/pre5/single_faces/presenter/373_9.jpg']
0.3806554079055786,[b'data/Coins_Faces/lesson7/pre6/single_faces/presenter/107_8.jpg']
0.2790393531322479,[b'data/Coins_Faces/lesson4/pre1/single_faces/presenter/465_4.jpg']
0.23564842343330383,[b'data/Coins_Faces/lesson7/pre5/single_faces/presenter/603_1.jpg']
0.35175979137420654,[b'data/Coins_Faces/lesson4/pre7/single_faces/presenter/51_3.jpg']
0.25313079357147217,[b'data/Coins_Faces/lesson7/pre9/single_faces/presenter/198_1.jpg']
0.3459428548812866,[b'data/Coins_Faces/lesson4/pre1/single_faces/presenter/276_1.jpg']
0.33512648940086365,[b'data/Coins_Faces/lesson2/pre2/single_faces/presenter/712_2.jpg']
0.5585567355155945,[b'data/Coins_Faces/lesson6/pre6/single_faces/presenter/344_3.jpg']
0.2361951321363449,[b'data/Coins_Faces/lesson7/pre2/single_faces/presenter/109_3.jpg']
0.33644190430641174,[b'data/Coins_Faces/lesson6/pre5/single_faces/presenter/350_3.jpg']
0.31942492723464966,[b'data/Coins_Faces/lesson1/pre6/single_faces/presenter/269_0.jpg']
0.3283839523792267,[b'data/Coins_Faces/lesson2/pre6/single_faces/presenter/135_0.jpg']
0.2760135531425476,[b'data/Coins_Faces/lesson7/pre8/single_faces/presenter/428_0.jpg']
0.3332928717136383,[b'data/Coins_Faces/lesson4/pre3/single_faces/presenter/51_15.jpg']
0.5196884274482727,[b'data/Coins_Faces/lesson6/pre6/single_faces/presenter/143_2.jpg']
0.24273502826690674,[b'data/Coins_Faces/lesson6/pre8/single_faces/presenter/403_1.jpg']
0.2512604594230652,[b'data/Coins_Faces/lesson6/pre8/single_faces/presenter/251_1.jpg']
0.34791648387908936,[b'data/Coins_Faces/lesson3/pre6/single_faces/presenter/279_5.jpg']
0.4436292350292206,[b'data/Coins_Faces/lesson2/pre4/single_faces/presenter/323_4.jpg']
0.4135851562023163,[b'data/Coins_Faces/lesson1/pre3/single_faces/presenter/225_5.jpg']
0.3529653251171112,[b'data/Coins_Faces/lesson4/pre8/single_faces/presenter/606_6.jpg']
